ORF,Mtb_ortholog,functional_category,name,negative_call,positive_call,desc,sites,mean_ctrl,mean_exp,log2FC,sum_ctrl,sum_exp,delta_mean,pvalue,adj_pvalue
MB2022c,Rv1999c,cell wall and cell processes,NA,NE,NE,PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN,23,113.3,115.2,0.02,10421.6,10598.19,1.9,0.9671,1
MB2023,Rv2000,conserved hypotheticals,NA,NE,NE,unknown protein,34,203.6,344.7,0.76,27686.6,46881.73,141.1,0.2666,0.82888
MB2024,Rv2001,conserved hypotheticals,NA,NE,NE,Acyl-ACP thioesterase,15,60.2,81.4,0.43,3614.7,4886.99,21.2,0.6243,1
MB2025,Rv2002,lipid metabolism,fabG3,NE,NE,POSSIBLE 20-BETA-HYDROXYSTEROID DEHYDROGENASE FABG3 (Cortisone reductase) ((R)-20-hydroxysteroid dehydrogenase),8,92.6,48.8,-0.91,2964.7,1561.8,-43.8,0.3586,0.88077
MB2026c,Rv2003c,conserved hypotheticals,NA,NE,NE,Methyltransferase type 11,11,18.1,68,1.85,796.4,2993.04,49.9,0.3073,0.85963
MB2027c,Rv2004c,conserved hypotheticals,NA,NE,NE,Predicted kinase,24,47.5,43.6,-0.12,4557.1,4183.05,-3.9,0.9168,1
MB2028c,Rv2005c,"virulence, detoxification, adaptation",NA,NE,NE,universal stress protein family protein,12,237.6,139.7,-0.76,11406.9,6705.71,-97.9,0.4173,0.91333
MB2029,Rv2006,"virulence, detoxification, adaptation",otsB1,GD,NE,PROBABLE TREHALOSE-6-PHOSPHATE PHOSPHATASE OTSB1 (TREHALOSE-PHOSPHATASE) (TPP),72,36.2,63.4,0.79,10419.4,18251.4,27.2,0.1882,0.77053
MB2030c,Rv2007c,intermediary metabolism and respiration,fdxA,NE,NE,ferredoxin fdxa,7,155.5,235,0.59,4354.5,6580.74,79.5,0.6046,0.99684
MB2031c,Rv2008c,conserved hypotheticals,NA,NE,NE,"ATPase, AAA family",25,46.7,130.1,1.46,4666.6,13011.2,83.4,0.0872,0.65462
MB2032,Rv2009,conserved hypotheticals,vapb15,NE,NE,antitoxin vapb15,4,65.2,42.6,-0.6,1043.1,682.36,-22.5,0.6297,1
MB2033,Rv2010,"virulence, detoxification, adaptation",vapc15,NE,NE,toxin vapc15,5,94.1,365.1,1.95,1881.2,7301.55,271,0.3359,0.87261
MB2034c,Rv2011c,regulatory proteins,NA,NE,NE,"Transcriptional regulator, MarR family",6,164.2,39.1,-2.04,3939.8,938.52,-125.1,0.0744,0.62281
MB2035,Rv2012,conserved hypotheticals,NA,NE,NE,Phage envelope protein,10,427.7,76.9,-2.46,17109.8,3074.59,-350.9,0.0021,0.24892
MB2036,Rv2013,insertion seqs and phages,NA,NE,NE,transposase,2,4.8,115.6,4.34,38.2,924.58,110.8,0.499,0.93536
MB2037,Rv2014,insertion seqs and phages,NA,NE,NE,transposase,4,386.7,198.5,-0.96,6187.8,3175.92,-188.2,0.2751,0.83372
MB2038c,Rv2015c,conserved hypotheticals,NA,NE,NE,HNH endonuclease domain protein,10,142.9,238.1,0.73,5716,9525.31,95.2,0.2496,0.81029
MB2039,Rv2016,conserved hypotheticals,NA,NE,NE,HYPOTHETICAL PROTEIN,6,64.6,255.1,1.96,1550.4,6122.34,190.5,0.1198,0.68393
MB2040,Rv2017,regulatory proteins,NA,ES,NE,transcriptional regulatory protein,12,0,0.1,0.08,0,2.71,0.1,1,1
MB2041,Rv2018,conserved hypotheticals,vapB45,NE,NE,Putative antitoxin VapB45,14,191.2,115.5,-0.72,10706.3,6469.8,-75.7,0.4047,0.91333
MB2042,Rv2019,conserved hypotheticals,vapC45,NE,NE,Putative ribonuclease VapC45 (RNase VapC45) (EC 3.1.-.-) (Toxin VapC45),6,335.6,590.9,0.81,8053.2,14182.48,255.4,0.2409,0.81029
MB2043c,Rv2020c,conserved hypotheticals,NA,NE,NE,Putative helicase,3,1024.8,32.6,-4.93,12297.3,391.52,-992.1,0.0061,0.32899
MB2044c,Rv2021c,regulatory proteins,NA,NE,NE,transcriptional regulatory protein,4,177.8,387.1,1.12,2844.1,6192.97,209.3,0.23,0.80411
MB2045c,Rv2022c,conserved hypotheticals,higB2,NE,NE,Toxin HigB,12,180.9,60.7,-1.56,8685.2,2914.07,-120.2,0.0601,0.58819
MB2046c,Rv2023c,conserved hypotheticals,NA,NE,NE,HYPOTHETICAL PROTEIN,3,104.4,153.9,0.56,1252.8,1847.01,49.5,0.8844,1
MB2047c,NA,NA,NA,GD,GD,HYPOTHETICAL PROTEIN,34,12.1,9.2,-0.36,1649.1,1255.92,-2.9,0.7478,1
MB2048c,NA,NA,NA,NE,NE,HYPOTHETICAL PROTEIN,18,51.2,21.2,-1.23,3687.1,1527.79,-30,0.4072,0.91333
MB2049c,Rv2024c,conserved hypotheticals,NA,NE,NE,Putative helicase,73,126,175.3,0.47,36783.3,51193.75,49.4,0.3175,0.86593
MB2050c,Rv2025c,cell wall and cell processes,NA,NE,NE,conserved membrane protein,11,93.2,195.9,1.06,4099.6,8617.55,102.7,0.4289,0.91455
MB2051c,Rv2026c,"virulence, detoxification, adaptation",NA,NE,NE,universal stress protein family protein,9,81.8,29.5,-1.44,2945.1,1061.18,-52.3,0.5225,0.94758
MB2052c,Rv2027c,regulatory proteins,dost,NE,NE,two component sensor histidine kinase dost,14,112.9,222.2,0.97,6322.4,12442.96,109.3,0.1344,0.70748
MB2053c,Rv2028c,"virulence, detoxification, adaptation",NA,NE,NE,universal stress protein family protein,8,90.9,124.1,0.45,2909.3,3972.01,33.2,0.7165,1
MB2054c,Rv2029c,intermediary metabolism and respiration,pfkB,NE,NE,6-phosphofructokinase pfkb (phosphohexokinase) (phosphofructokinase),9,110.1,51.1,-1.09,3964.4,1839.12,-59,0.2454,0.81029
MB2055c,Rv2030c,conserved hypotheticals,NA,NE,NE,CONSERVED HYPOTHETICAL PROTEIN [SECOND PART],5,147.9,61.9,-1.24,2957.2,1238.91,-85.9,0.3729,0.88885
MB2056c,Rv2030c,conserved hypotheticals,NA,NE,NE,CONSERVED HYPOTHETICAL PROTEIN [FIRST PART],27,78.4,98.5,0.33,8463.1,10641.11,20.2,0.6433,1
MB2057c,Rv2031c,"virulence, detoxification, adaptation",hspX,NE,NE,heat shock protein hspx (alpha-crystallin homolog) (14 kda antigen) (hsp16.3),8,6.6,264.8,5.13,211.1,8472.05,258.2,0.009,0.36773
MB2058,Rv2032,conserved hypotheticals,acg,NE,NE,Dinucleotide-utilizing enzymes involved in molybdopterin and thiamine biosynthesis family 2,18,61.9,26,-1.22,4454.3,1872.9,-35.9,0.36870000000000003,0.8861
MB2059c,Rv2033c,conserved hypotheticals,NA,NE,NE,intermediary metabolism and respiration,11,50.6,53.6,0.08,2227.8,2356.72,2.9,0.9196,1
MB2060,Rv2034,regulatory proteins,NA,NE,NE,arsr repressor protein,3,41.3,2.6,-3.57,496.2,30.82,-38.8,0.1546,0.73936
MB2061,Rv2035,conserved hypotheticals,NA,NE,NE,Ligand-binding SRPBCC domain CalC,11,95.4,48.8,-0.95,4199.1,2147.93,-46.6,0.3501,0.87633
MB2062,Rv2036,intermediary metabolism and respiration,NA,NE,NE,CONSERVED HYPOTHETICAL PROTEIN,6,31.8,151.1,2.21,762.2,3625.63,119.3,0.3334,0.87261
MB2063c,Rv2037c,cell wall and cell processes,NA,NE,NE,conserved transmembrane protein,16,152,7.1,-4.23,9727.8,456.35,-144.9,0.0245,0.47876
MB2064c,Rv2038c,cell wall and cell processes,NA,NE,NE,Probable sugar-transport ATP-binding protein ABC transporter,16,50.9,28.6,-0.81,3254.7,1832.61,-22.2,0.3385,0.87311
MB2065c,Rv2039c,cell wall and cell processes,NA,NE,NE,Probable sugar-transport integral membrane protein ABC transporter,15,10.2,57.3,2.37,614.9,3439.1,47.1,0.1205,0.68393
MB2066c,Rv2040c,cell wall and cell processes,NA,NE,NE,Probable sugar-transport integral membrane protein ABC transporter,16,70.7,109.3,0.62,4524.8,6995.49,38.6,0.4152,0.91333
MB2067c,Rv2041c,cell wall and cell processes,NA,NE,NE,Probable sugar-binding lipoprotein,24,52.1,67.9,0.38,5000.5,6518.65,15.8,0.6628,1
MB2068c,Rv2042c,conserved hypotheticals,NA,NE,NE,Nuclear transport factor 2,13,55,71.7,0.38,2858.8,3726.3,16.7,0.7824,1
MB2069c,Rv2043c,intermediary metabolism and respiration,pncA,NE,NE,pyrazinamidase/nicotinamidase pnca (pzase),11,23.8,162.9,2.72,1048.6,7166.49,139,0.083,0.64091
MB2070c,Rv2044c,conserved hypotheticals,NA,NE,NE,putative membrane protein,7,237.7,203.5,-0.22,6654.9,5698.55,-34.2,0.8459,1
MB2071c,Rv2045c,intermediary metabolism and respiration,lipT,NE,NE,carboxylesterase lipt,28,62.4,153.8,1.29,6988.8,17224.38,91.4,0.0432,0.53772
MB2072,Rv2046,cell wall and cell processes,lppI,NE,NE,Probable lipoprotein lppI,10,229.3,267,0.22,9170.3,10681.71,37.8,0.7803,1
MB2073c,Rv2047c,conserved hypotheticals,NA,NE,NE,Phosphoenolpyruvate synthase (EC 2.7.9.2),28,136,108.7,-0.32,15236.3,12172.49,-27.4,0.6509,1
MB2074c,Rv2048c,lipid metabolism,pks12,NE,NE,polyketide synthase pks12,129,39.4,28.9,-0.43,20314.5,14936.14,-10.4,0.1903,0.77053
MB2075c,Rv2049c,conserved hypotheticals,NA,NE,NE,conserved hypothetical protein,1,0,1.9,1.51,0,7.43,1.9,1,1
MB2076,Rv2050,conserved hypotheticals,rbpA,ES,ES,RNAP Holo/RbpA/Fidaxomicin/upstream fork DNA,4,0,0.5,0.55,0,7.43,0.5,1,1
MB2077c,Rv2051c,cell wall and cell processes,ppm1,NE,NE,Polyprenol-monophosphomannose synthase Ppm1,29,189.6,134.3,-0.49,21995.8,15577.93,-55.3,0.3872,0.9022
MB2078c,Rv2052c,conserved hypotheticals,NA,NE,NE,Exoenzymes regulatory protein AepA in lipid-linked oligosaccharide synthesis cluster,19,179.8,285,0.66,13664.1,21661.95,105.2,0.3037,0.8578
MB2079c,Rv2053c,cell wall and cell processes,fxsa,NE,NE,probable transmembrane protein fxsa,3,486.4,299.7,-0.7,5836.4,3596.35,-186.7,0.5505,0.96964
MB2080,Rv2054,conserved hypotheticals,NA,NE,NE,Dienelactone hydrolase family protein,15,227.5,252.5,0.15,13652.4,15151.06,25,0.8151,1
MB2081c,Rv2055c,information pathways,rpsR2,NE,NE,30s ribosomal protein s18 rpsr2,2,21.1,0,-4.47,168.9,0,-21.1,0.0897,0.65462
MB2082c,Rv2056c,information pathways,rpsN2,NE,NE,30s ribosomal protein s14 rpsn2,3,31.9,0.6,-4.34,382.7,7.43,-31.3,0.2916,0.84736
MB2083c,Rv2057c,information pathways,rpmG1,NE,NE,50s ribosomal protein l33 rpmg1,4,248.8,400.3,0.68,3981.2,6405.29,151.5,0.4261,0.91439
MB2084c,Rv2058c,information pathways,rpmB2,NE,NE,50s ribosomal protein l28 rpmb2,4,435.3,540.1,0.31,6964.6,8641.12,104.8,0.6914,1
MB2085,Rv2059,conserved hypotheticals,NA,NE,NE,"Zinc ABC transporter, substrate-binding protein ZnuA",19,122.3,52.9,-1.19,9292.9,4023.58,-69.3,0.0599,0.58819
MB2086,Rv2060,cell wall and cell processes,NA,NE,NE,Possible conserved integral membrane protein,3,4.9,0,-2.56,58.6,0,-4.9,0.2249,0.80011
MB2087c,Rv2061c,conserved hypotheticals,NA,NE,NE,F420-dependent enzyme Rv2061c,6,233.8,103.6,-1.17,5610.2,2487.14,-130.1,0.2776,0.83486
MB2088c,Rv2062c,intermediary metabolism and respiration,cobN,NE,NE,cobalamin biosynthesis protein cobn,43,70.3,97.1,0.46,12085.3,16696.94,26.8,0.4166,0.91333
MB2089,Rv2063,"virulence, detoxification, adaptation",maze7,NE,NE,antitoxin maze7,3,2.8,0,-1.91,33.2,0,-2.8,1,1
MB2089A,Rv2063A,"virulence, detoxification, adaptation",mazF7,NE,NE,Possible toxin MazF7,3,231.4,908,1.97,2776.2,10895.8,676.6,0.0598,0.58819
MB2090,Rv2064,intermediary metabolism and respiration,cobG,NE,NE,precorrin-3b synthase cobg,4,40.7,88.3,1.1,650.9,1412.4,47.6,0.3425,0.87569
MB2091,Rv2065,intermediary metabolism and respiration,cobH,NE,NE,precorrin-8x methylmutase cobh (aka precorrin isomerase),6,220.8,337.4,0.61,5298,8097.26,116.6,0.6175,1
MB2092,Rv2066,intermediary metabolism and respiration,cobI,NE,NE,"Probable bifunctional protein, CobI-CobJ fusion protein: S-adenosyl-L-methionine-precorrin-2 methyl transferase + precorrin-3 methylase",20,198.6,175.7,-0.18,15890,14054.7,-22.9,0.7109,1
MB2093c,Rv2067c,conserved hypotheticals,NA,NE,NE,SAM-dependent methyltransferase,31,85.6,98.7,0.2,10620.4,12244.23,13.1,0.7966,1
MB2094c,Rv2068c,intermediary metabolism and respiration,blaC,NE,NE,CLASS A BETA-LACTAMASE BLAC,14,453.6,235,-0.95,25403.2,13158.34,-218.7,0.111,0.68082
MB2095,Rv2069,information pathways,sigC,NE,NE,"rna polymerase sigma factor, ecf subfamily, sigc",7,464.4,313.5,-0.57,13004,8777.41,-150.9,0.5829,0.98325
MB2096c,Rv2070c,intermediary metabolism and respiration,cobK,NE,NE,precorrin-6x reductase cobk,10,14,63.9,2.11,560.7,2557.25,49.9,0.4407,0.92126
MB2097c,Rv2071c,intermediary metabolism and respiration,cobM,NE,NE,precorrin-3 methylase cobm (precorrin-4 c11-methyltransferase),14,130.9,164.8,0.33,7331.8,9229.91,33.9,0.5973,0.99351
MB2098c,Rv2072c,intermediary metabolism and respiration,cobLb,NE,NE,Probable precorrin-6y methyltransferase CobLb [SECOND PART],8,167.8,57.2,-1.54,5370.4,1831.5,-110.6,0.309,0.862
MB2099c,Rv2072c,intermediary metabolism and respiration,cobLa,NE,NE,Probable precorrin-6y methyltransferase CobLa [FIRST PART],3,294.7,196.5,-0.58,3535.9,2357.53,-98.2,0.6552,1
MB2100c,Rv2075c,intermediary metabolism and respiration,NA,NE,NE,Possible hypothetical exported or envelope protein,14,225.6,588.5,1.38,12635.7,32956.84,362.9,0.0204,0.44538
MB2101c,Rv2076c,conserved hypotheticals,NA,NE,NE,conserved hypothetical protein,5,361,44.8,-2.98,7220.1,895.99,-316.2,0.2356,0.81029
MB2102c,Rv2077c,cell wall and cell processes,NA,NE,NE,POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN,19,152.4,396.2,1.37,11583,30113.05,243.8,0.1136,0.68173
MB2103c,Rv2077A,conserved hypotheticals,NA,NE,NE,CONSERVED HYPOTHETICAL PROTEIN,6,185.2,164.6,-0.17,4443.7,3950.23,-20.6,0.8805,1
MB2104,Rv2078,conserved hypotheticals,NA,NE,NE,conserved hypothetical protein,3,0,68.2,6.11,0,818.09,68.2,0.1021,0.66431
MB2105,Rv2079,conserved hypotheticals,NA,NE,NE,CONSERVED HYPOTHETICAL PROTEIN,29,102.2,135.1,0.4,11850,15669.47,32.9,0.5501,0.96957
MB2106,Rv2080,cell wall and cell processes,lppJ,NE,NE,lipoprotein lppj,10,479.6,107,-2.15,19182.8,4278.41,-372.6,0.0026,0.26004
MB2107c,Rv2081c,cell wall and cell processes,NA,NE,NE,conserved transmembrane protein,7,132.9,67.7,-0.96,3722,1896.18,-65.2,0.1301,0.69981
MB2108,Rv2082,conserved hypotheticals,NA,NE,NE,Vegetative cell wall protein gp1 precursor,34,216.3,189.9,-0.19,29416.7,25828.56,-26.4,0.641,1
MB2109,Rv2083,conserved hypotheticals,NA,NE,NE,CONSERVED HYPOTHETICAL PROTEIN,6,150.9,254,0.75,3620.8,6094.96,103.1,0.4416,0.92218
MB2110,Rv2084,conserved hypotheticals,NA,NE,NE,HYPOTHETICAL PROTEIN,21,80.1,278,1.78,6730.7,23354.77,197.9,0.117,0.68307
MB2111,Rv2084,conserved hypotheticals,NA,NE,NE,HYPOTHETICAL PROTEIN,1,0,1.2,1.17,0,4.98,1.2,1,1
MB2112,Rv2085,conserved hypotheticals,NA,NE,NE,CONSERVED HYPOTHETICAL PROTEIN,2,5.1,253.5,5.39,40.7,2028.38,248.5,0.4251,0.91439
MB2113,Rv2086,conserved hypotheticals,NA,NE,NE,CONSERVED HYPOTHETICAL PROTEIN,11,26.3,26.4,0,1158.7,1161.17,0.1,0.9982,1
MB2114,Rv2087,conserved hypotheticals,NA,NE,NE,CONSERVED HYPOTHETICAL PROTEIN,5,0.3,0.1,-0.19,5.5,2.4,-0.2,1,1
MB2115,Rv2088,regulatory proteins,pknJ,NE,NE,transmembrane serine/threonine-protein kinase j pknj (protein kinase j) (stpk j),29,50.1,121.6,1.26,5817.1,14108.9,71.5,0.0788,0.63134
MB2116c,Rv2089c,intermediary metabolism and respiration,pepE,NE,NE,dipeptidase pepe,20,66.4,67.1,0.01,5312.7,5368.12,0.7,0.9829,1
MB2117,Rv2090,information pathways,NA,NE,NE,probable 5'-3' exonuclease,16,238.8,256,0.1,15285.4,16383.53,17.2,0.8872,1
MB2118c,Rv2091c,cell wall and cell processes,NA,NE,NE,Probable membrane protein,18,105.6,95.2,-0.15,7601.4,6856.69,-10.3,0.89,1
MB2119c,Rv2092c,information pathways,helY,NE,NE,atp-dependent dna helicase hely,37,205.9,341.8,0.73,30473.1,50590.93,135.9,0.0969,0.65462
MB2120c,Rv2093c,cell wall and cell processes,tatC,GD,ES,sec-independent protein translocase transmembrane protein tatc,12,1.1,0,-1.08,53.8,0,-1.1,0.4811,0.93536
MB2121c,Rv2094c,cell wall and cell processes,tatA,GD,ES,sec-independent protein translocase membrane-bound protein tata,2,0,0,0,0,0,0,1,1
MB2122c,Rv2095c,conserved hypotheticals,pafc,NE,NE,proteasome accessory factor c pafc,14,170.1,313.3,0.88,9522.8,17545.59,143.3,0.2361,0.81029
MB2123c,Rv2096c,intermediary metabolism and respiration,pafb,NE,NE,proteasome accessory factor b pafb,10,280.5,63.6,-2.12,11221.6,2544.2,-216.9,0.0131,0.39544
MB2124c,Rv2097c,intermediary metabolism and respiration,pafa,NE,NE,proteasome accessory factor a pafa,19,51.7,95.1,0.87,3932.7,7225.56,43.3,0.1899,0.77053
MB2125c,Rv2099c,PE/PPE,pe21,NE,NE,pe-pgrs family protein pe_pgrs36,15,125.1,244,0.96,7504.5,14640.94,118.9,0.1495,0.73617
MB2126,Rv2100,conserved hypotheticals,NA,NE,NE,"13E12 repeat family protein, HNH endonuclease domain",19,279.9,420.3,0.58,21271.3,31942.76,140.4,0.3637,0.88077
MB2127,Rv2101,information pathways,helZ,NE,NE,PROBABLE HELICASE HELZ,24,238.4,339.1,0.51,22883.6,32550.06,100.7,0.2784,0.83509
MB2128,Rv2102,conserved hypotheticals,NA,NE,NE,SWF/SNF family helicase Rv2102,13,310.6,59.7,-2.36,16152,3101.99,-251,0.0081,0.36405
MB2129c,Rv2103c,"virulence, detoxification, adaptation",vapc37,NE,NE,possible toxin vapc37. contains pin domain.,3,786.8,374.9,-1.07,9441.6,4498.69,-411.9,0.4077,0.91333
MB2130c,Rv2104c,"virulence, detoxification, adaptation",vapb37,NE,NE,possible antitoxin vapb37,1,88.3,1336.2,3.9,353.1,5344.81,1247.9,0.2173,0.79792
MB2131,Rv2107,PE/PPE,PE22,NE,GD,pe family protein pe22,9,91.8,7.8,-3.4,3304.9,280.96,-84,0.0345,0.50562
MB2132,Rv2108,PE/PPE,PPE36,NE,NE,ppe family protein ppe36,21,335.8,205.5,-0.71,28203.9,17264.67,-130.2,0.2032,0.79035
MB2133c,Rv2109c,intermediary metabolism and respiration,prcA,GD,ES,proteasome alpha subunit prca; assembles with beta subunit prcb.,17,1.6,0,-1.38,108.4,0,-1.6,0.2432,0.81029
MB2134c,Rv2110c,intermediary metabolism and respiration,prcB,GD,ES,proteasome beta subunit prcb; assembles with alpha subunit prca.,16,7.8,0,-3.15,502.2,0,-7.8,0.4987,0.93536
MB2135c,Rv2111c,intermediary metabolism and respiration,pup,NE,ES,prokaryotic ubiquitin-like protein pup,1,0,0,0,0,0,0,1,1
MB2136c,Rv2112c,conserved hypotheticals,dop,NE,NE,deamidase of pup dop,31,72.6,187.1,1.35,8999.6,23201.97,114.5,0.4119,0.91333
MB2137,Rv2113,cell wall and cell processes,NA,NE,NE,Probable integral membrane protein,10,612.8,788.6,0.36,24512,31543.31,175.8,0.5278,0.95092
MB2138,Rv2114,conserved hypotheticals,NA,NE,NE,conserved protein,13,114.4,468.9,2.03,5950.6,24380.77,354.4,0.0086,0.36773
MB2139c,Rv2115c,cell wall and cell processes,mpa,NE,NE,mycobacterial proteasome atpase mpa,28,238.2,357.2,0.58,26677.1,40001.29,119,0.2507,0.81062
MB2140,Rv2116,cell wall and cell processes,lppK,NE,NE,conserved lipoprotein lppk,6,210.8,122,-0.78,5059.5,2928.92,-88.8,0.4579,0.93536
MB2141,Rv2117,conserved hypotheticals,NA,NE,NE,YlxP-like protein,2,7.3,29,1.86,58.4,232.29,21.7,0.2816,0.8397
MB2142c,Rv2118c,intermediary metabolism and respiration,NA,NE,NE,rna methyltransferase,13,180.1,213.2,0.24,9367.7,11087.62,33.1,0.6162,1
MB2143,Rv2119,conserved hypotheticals,NA,NE,NE,RecB family exonuclease,18,98.5,120.8,0.29,7095.6,8699.73,22.3,0.7431,1
MB2144c,Rv2120c,cell wall and cell processes,NA,NE,ES,PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN,5,210.8,294.4,0.48,4216.3,5888.68,83.6,0.7028,1
MB2145c,Rv2121c,intermediary metabolism and respiration,hisG,ES,ES,atp phosphoribosyltransferase hisg,8,0,0,0,0,0,0,1,1
MB2146c,Rv2122c,intermediary metabolism and respiration,hisE,ES,ES,phosphoribosyl-amp pyrophosphatase hise,3,0,0,0,0,0,0,1,1
MB2147,Rv2123,PE/PPE,PPE37,NE,NE,ppe family protein ppe37,19,164.9,132.1,-0.32,12535.4,10040.43,-32.8,0.5735,0.98202
MB2148c,Rv2124c,intermediary metabolism and respiration,metH,NE,NE,"5-methyltetrahydrofolate--homocystein methyltransferase meth (methionine synthase, vitamin-b12 dependent isozyme) (ms)",40,138.3,85.8,-0.68,22128.4,13730.25,-52.5,0.2066,0.79288
MB2149,Rv2125,conserved hypotheticals,NA,NE,NE,CONSERVED HYPOTHETICAL PROTEIN,9,375.6,1117.8,1.57,13520.6,40242.17,742.3,0.2118,0.79696
MB2150c,Rv2126c,PE/PPE,PE_PGRS37,NE,NE,pe-pgrs family protein pe_pgrs37,8,75.1,78.3,0.06,2404.3,2504.3,3.1,0.9324,1
MB2151,Rv2127,cell wall and cell processes,ansP1,NE,NE,l-asparagine permease ansp1,25,279.7,281.9,0.01,27966,28194.18,2.3,0.981,1
MB2152,Rv2128,cell wall and cell processes,NA,NE,NE,conserved transmembrane protein,6,115.7,65.6,-0.81,2777.7,1574.72,-50.1,0.4741,0.93536
MB2153c,Rv2129c,intermediary metabolism and respiration,NA,NE,NE,Probable oxidoreductase,12,343.4,168.3,-1.02,16481.1,8079.96,-175,0.2304,0.80481
MB2154c,Rv2130c,intermediary metabolism and respiration,mshc,GD,ES,cysteine:1d-myo-inosityl 2-amino-2-deoxy--d-glucopyranoside ligase mshc,24,2,0.6,-0.88,189.9,59.44,-1.4,0.6139,1
MB2155c,Rv2131c,intermediary metabolism and respiration,cysQ,NE,NE,monophosphatase cysq,9,36.3,49.4,0.43,1306.9,1777.29,13.1,0.6055,0.99684
MB2156,Rv2132,conserved hypotheticals,NA,NE,NE,"Antitoxin to Toxin 1, PIN domain",2,527.8,699.6,0.41,4222.3,5596.88,171.8,0.6545,1
MB2157c,Rv2133c,conserved hypotheticals,NA,NE,NE,Phosphatidylinositol 3- and 4-kinase,9,203.5,382.6,0.91,7326.7,13774.92,179.1,0.4686,0.93536
MB2158c,Rv2134c,conserved hypotheticals,NA,NE,NE,conserved protein,6,248.6,58.8,-2.06,5966.3,1410.85,-189.8,0.0457,0.54358
MB2159c,Rv2135c,conserved hypotheticals,NA,NE,NE,Phosphoglycerate mutase family protein,5,53.6,3,-3.78,1071.4,59.65,-50.6,0.0388,0.52938
MB2160c,Rv2136c,cell wall and cell processes,NA,NE,NE,Possible conserved transmembrane protein,9,685.1,233.9,-1.55,24663.2,8420.51,-451.2,0.0538,0.56671
MB2161c,Rv2137c,conserved hypotheticals,NA,NE,GD,secretion/lipid metabolism,6,50.3,14,-1.78,1207.8,335.73,-36.3,0.1734,0.75382
MB2162,Rv2138,cell wall and cell processes,lppL,ES,GD,Probable conserved lipoprotein LppL,18,0,0,0,0,0,0,1,1
MB2163,Rv2139,intermediary metabolism and respiration,pyrD,ES,GD,probable dihydroorotate dehydrogenase pyrd,13,0,0,0,0,0,0,1,1
MB2164c,Rv2140c,"virulence, detoxification, adaptation",TB18.6,NE,NE,Phospholipid-binding protein,10,260.7,134.3,-0.95,10429.4,5371.93,-126.4,0.2721,0.83372
MB2165c,Rv2141c,intermediary metabolism and respiration,NA,NE,NE,YscS-like amidohydrolase,18,256.9,121.6,-1.07,18494.9,8752.82,-135.3,0.0416,0.53297
MB2166A,Rv2142A,"virulence, detoxification, adaptation",parD2,NE,NE,Possible antitoxin ParD2,2,2.5,1186.6,8.41,19.9,9492.51,1184.1,0.0944,0.65462
MB2166c,Rv2142c,"virulence, detoxification, adaptation",pare2,NE,NE,possible toxin pare2,12,354.7,364.9,0.04,17025.1,17516.92,10.2,0.933,1
MB2167,Rv2143,conserved hypotheticals,NA,NE,NE,Phosphoribosyl transferase domain protein,12,383,372,-0.04,18386.2,17857.24,-11,0.9483,1
MB2168c,Rv2144c,cell wall and cell processes,NA,NE,NE,Probable transmembrane protein,3,20.4,71.5,1.76,244.3,857.9,51.1,0.5218,0.94758
MB2169c,Rv2145c,cell wall and cell processes,wag31,ES,NE,diviva family protein wag31,11,0,0,0,0,0,0,1,1
MB2170c,Rv2146c,cell wall and cell processes,NA,NE,NE,Possible conserved transmembrane protein,1,133.6,46,-1.52,534.4,184.16,-87.6,0.6662,1
MB2171c,Rv2147c,conserved hypotheticals,sepF,ES,ES,"SepF, FtsZ-interacting protein related to cell division",17,20.7,43.1,1.02,1408.7,2931.12,22.4,0.8531,1
MB2172c,Rv2148c,conserved hypotheticals,NA,NE,NE,Pyridoxal phosphate-containing protein YggS,8,146.7,61.2,-1.25,4694.1,1957.71,-85.5,0.2231,0.79792
MB2173c,Rv2149c,"virulence, detoxification, adaptation",yfiH,NE,NE,FIG00003370: Multicopper polyphenol oxidase,6,201.9,61.5,-1.7,4846,1476.29,-140.4,0.0469,0.54358
MB2174c,Rv2150c,cell wall and cell processes,ftsZ,NE,ES,cell division protein FtsZ,6,0,0,0,0,0,0,1,1
MB2175c,Rv2151c,cell wall and cell processes,ftsQ,ES,ES,POSSIBLE CELL DIVISION PROTEIN FTSQ,7,0.2,0,-0.21,4.4,0,-0.2,1,1
MB2176c,Rv2152c,cell wall and cell processes,murC,ES,ES,probable udp-n-acetylmuramate-alanine ligase murc,14,0,0,0,0,0,0,1,1
MB2177c,Rv2153c,cell wall and cell processes,murG,ES,ES,probable upd-n-acetylglucosamine-n-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol-n-acetylglucosamine transferase murg,13,0,0,0,0,0,0,1,1
MB2178c,Rv2154c,cell wall and cell processes,ftsW,ES,ES,FtsW-like protein FtsW,16,6.8,0.5,-2.36,434.8,33.09,-6.3,0.209,0.7953
MB2179c,Rv2155c,cell wall and cell processes,murD,ES,ES,probable udp-n-acetylmuramoylalanine-d-glutamate ligase murd,18,0,0,0,0,0,0,1,1
MB2180c,Rv2156c,cell wall and cell processes,murX,ES,ES,probable phospho-n-acetylmuramoyl-pentappeptidetransferase murx,12,0,0,0,0,0,0,1,1
