#utest
#Console: python3 /Users/jenniferstiens/anaconda3/envs/python38/bin/transit utest output/permissive_wigs/perm_B1_insertions.wig,output/permissive_wigs/perm_D1_insertions.wig,output/permissive_wigs/perm_B2_insertions.wig,output/permissive_wigs/perm_D2_insertions.wig output/permissive_wigs/perm_A1_insertions.wig,output/permissive_wigs/perm_C1_insertions.wig,output/permissive_wigs/perm_A2_insertions.wig,output/permissive_wigs/perm_C2_insertions.wig ref_seqs/Mbovis_LT708304.prot_table output/utest_all_perm_ttr.tsv -n TTR
#Control Data: b'output/permissive_wigs/perm_B1_insertions.wig,output/permissive_wigs/perm_D1_insertions.wig,output/permissive_wigs/perm_B2_insertions.wig,output/permissive_wigs/perm_D2_insertions.wig'
#Experimental Data: b'output/permissive_wigs/perm_A1_insertions.wig,output/permissive_wigs/perm_C1_insertions.wig,output/permissive_wigs/perm_A2_insertions.wig,output/permissive_wigs/perm_C2_insertions.wig'
#Annotation path: b'ref_seqs/Mbovis_LT708304.prot_table'
#Time: 8.193161964416504
#Orf	Name	Desc	Sites	Mean Ctrl	Mean Exp	log2FC	U-Statistic	p-value	Adj. p-value
MB2353c	NA	possible transmembrane atp-binding protein abc transporter	18	128.9	71.7	-0.85	3101.50	0.02311	0.19394
MB2354	NA	Transcriptional regulator Rv2327, MarR family	4	26.9	134.9	2.33	138.00	0.65167	0.92719
MB2355	PE23	pe family protein pe23	12	280.1	17.7	-3.98	1081.00	0.00118	0.04777
MB2356c	narK1	PROBABLE NITRITE EXTRUSION PROTEIN 1 NARK1 (NITRITE FACILITATOR 1)	27	79.7	202.4	1.35	4699.00	0.79221	1.00000
MB2357c	lppP	PROBABLE LIPOPROTEIN LPPP	7	52.9	25.6	-1.05	384.00	0.00961	0.13241
MB2358	NA	Assimilatory nitrate reductase large subunit (EC 1.7.99.4)	6	76.2	77.7	0.03	132.00	0.87943	1.00000
MB2359	NA	HYPOTHETICAL PROTEIN	5	91.1	134.8	0.56	142.50	0.57278	0.86776
MB2360	mez	PROBABLE [NAD] DEPENDENT MALATE OXIDOREDUCTASE MEZ (MALIC ENZYME) (NAD-MALIC ENZYME) (MALATE DEHYDROGENASE (OXALOACETATE DECARBOXYLATING)) (PYRUVIC-MALIC CARBOXYLASE) (NAD-ME)	25	182.0	322.8	0.83	3394.00	0.47653	0.79324
MB2361c	stp	integral membrane drug efflux protein stp	19	310.7	329.4	0.08	2558.00	0.27516	0.62656
MB2362	cysK1	cysteine synthase a cysk1 (o-acetylserine sulfhydrylase a) (o-acetylserine (thiol)-lyase a) (csase a)	12	452.5	552.7	0.29	651.00	0.97699	1.00000
MB2363	cysE	PROBABLE SERINE ACETYLTRANSFERASE CYSE (SAT)	6	362.5	500.1	0.46	189.50	0.78393	1.00000
MB2364	NA	HYPOTHETICAL PROTEIN	30	120.7	71.6	-0.75	1931.00	0.41782	0.76475
MB2365c	NA	HYPOTHETICAL PROTEIN	9	275.8	186.6	-0.56	634.50	0.06546	0.31926
MB2366c	moeW	POSSIBLE MOLYBDOPTERIN BIOSYNTHESIS PROTEIN MOEW	38	29.5	65.4	1.15	1154.00	0.98847	1.00000
MB2367	mmpL9a	PROBABLE CONSERVED TRANSMEMBRANE TRANSPORT PROTEIN MMPL9A [FIRST PART]	70	140.6	278.7	0.99	7767.00	0.23002	0.56561
MB2368	mmpL9b	PROBABLE CONSERVED TRANSMEMBRANE TRANSPORT PROTEIN MMPL9B [SECOND PART]	5	205.1	306.0	0.58	223.00	0.52640	0.83353
MB2369c	PE_PGRS39	pe-pgrs family protein pe_pgrs39	12	480.0	202.0	-1.25	1194.00	0.05531	0.29631
MB2370	lppQ	PROBABLE CONSERVED LIPOPROTEIN LPPQ	4	401.8	218.6	-0.88	162.00	0.19746	0.53124
MB2371	NA	CONSERVED HYPOTHETICAL PROTEIN	4	79.3	116.9	0.56	66.00	0.74626	0.98703
MB2372c	dnaG	PROBABLE DNA PRIMASE DNAG	24	0.0	0.0	0.00	0.00	1.00000	1.00000
MB2373c	dgt	PROBABLE DEOXYGUANOSINE TRIPHOSPHATE TRIPHOSPHOHYDROLASE DGT (DGTPASE) (DGTP TRIPHOSPHOHYDROLASE)	25	127.5	104.4	-0.29	5266.00	0.00141	0.05056
MB2374	NA	POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN	28	355.2	331.7	-0.10	6469.00	0.15645	0.48307
MB2375c	esxO	putative esat-6 like protein esxo (esat-6 like protein 6)	2	345.7	518.8	0.59	27.50	0.67420	0.94299
MB2376c	PPE71	PPE FAMILY PROTEIN	20	182.5	243.6	0.42	2428.00	0.50396	0.81345
MB2377c	PPE40	ppe family protein ppe40	25	123.4	142.1	0.20	3062.00	0.04791	0.27614
MB2378c	glyS	PROBABLE GLYCYL-tRNA SYNTHETASE GLYS (GLYCINE--tRNA LIGASE) (GLYRS)	26	0.0	68.1	6.11	6.00	0.45325	0.77196
MB2379	smtb	probable transcriptional regulatory protein smtb (probably arsr-family)	5	104.7	73.6	-0.51	257.50	0.05718	0.29726
MB2380	zur	probable zinc uptake regulation protein zur	5	179.4	77.6	-1.21	62.00	0.56916	0.86494
MB2381c	NA	unknown protein	6	374.2	151.8	-1.30	158.00	0.26468	0.61396
MB2382c	NA	LONG (C50) CHAIN Z-ISOPRENYL DIPHOSPHATE SYNTHASE (Z-DECAPRENYL DIPHOSPHATE SYNTHASE)	17	0.0	0.9	0.93	6.00	0.45325	0.77196
MB2383c	reco	possible dna repair protein reco	11	28.7	44.6	0.64	402.50	0.84335	1.00000
MB2384	amiA2	PROBABLE AMIDASE AMIA2 (AMINOHYDROLASE)	14	109.7	19.3	-2.51	920.00	0.16167	0.49094
MB2385c	era	PROBABLE GTP-BINDING PROTEIN ERA	15	4.8	57.2	3.58	499.50	0.01584	0.16147
MB2386c	NA	Protein involved in pyrimidine metabolism	4	19.2	203.2	3.40	73.00	0.97490	1.00000
MB2387c	NA	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN	20	54.8	142.1	1.38	1605.00	0.81065	1.00000
MB2388c	ybeY	Metal-dependent hydrolase YbeY, involved in rRNA and/or ribosome maturation and assembly	7	352.1	673.4	0.94	148.00	0.00367	0.08067
MB2389c	phoH1	PROBABLE PHOH-LIKE PROTEIN PHOH1 (PHOSPHATE STARVATION-INDUCIBLE PROTEIN PSIH)	16	230.4	282.1	0.29	2098.50	0.10868	0.40824
MB2390c	NA	HYPOTHETICAL PROTEIN	3	300.2	265.9	-0.18	79.00	0.69989	0.95811
MB2391c	NA	Possible regulatory protein Trx	19	169.1	219.2	0.37	2250.50	0.32263	0.67339
MB2392	PE_PGRS40	pe-pgrs family protein pe_pgrs40	0	0.0	0.0	0.00	0.00	1.00000	1.00000
MB2393c	rsmE	16S rRNA (uracil(1498)-N(3))-methyltransferase (EC 2.1.1.193)	5	166.1	136.0	-0.29	190.50	0.80134	1.00000
MB2394c	dnaJ2	PROBABLE CHAPERONE PROTEIN DNAJ2	7	151.5	16.8	-3.17	222.00	0.49474	0.80371
MB2395c	hrcA	probable heat shock protein transcriptional repressor hrca	20	37.9	85.4	1.17	1618.00	0.74041	0.98475
MB2396	NA	Transcription regulator of the Arc/MetJ class	9	198.4	166.6	-0.25	756.00	0.20692	0.53826
MB2397c	cfp2	LOW MOLECULAR WEIGHT ANTIGEN CFP2 (LOW MOLECULAR WEIGHT PROTEIN ANTIGEN 2) (CFP-2)	2	50.2	126.9	1.34	34.00	0.87150	1.00000
MB2398c	mbtH	MbtH-like NRPS chaperone => MbtH	1	327.1	3.1	-6.72	13.50	0.12409	0.43161
MB2399c	mbtG	LYSINE-N-OXYGENASE MBTG (L-LYSINE 6-MONOOXYGENASE) (LYSINE N6-HYDROXYLASE)	9	208.9	104.3	-1.00	509.00	0.04550	0.27027
MB2400c	mbtF	PEPTIDE SYNTHETASE MBTF (PEPTIDE SYNTHASE)	54	72.8	86.7	0.25	13815.50	0.62049	0.90610
MB2401c	mbtE	PEPTIDE SYNTHETASE MBTE (PEPTIDE SYNTHASE)	72	77.3	80.2	0.05	26244.00	0.83021	1.00000
MB2402c	mbtD	POLYKETIDE SYNTHETASE MBTD (POLYKETIDE SYNTHASE)	40	79.4	59.4	-0.42	3086.50	0.59788	0.88778
MB2403c	mbtC	POLYKETIDE SYNTHETASE MBTC (POLYKETIDE SYNTHASE)	15	8.9	51.2	2.53	349.00	0.34653	0.69768
MB2404c	mbtB	PHENYLOXAZOLINE SYNTHASE MBTB (PHENYLOXAZOLINE SYNTHETASE)	44	103.2	125.9	0.29	8507.00	0.56238	0.86053
MB2405	mbtA	BIFUNCTIONAL ENZYME MBTA: SALICYL-AMP LIGASE (SAL-AMP LIGASE) + SALICYL-S-ArCP SYNTHETASE	21	98.6	19.3	-2.35	2130.00	0.64882	0.92607
MB2406	mbtJ	PUTATIVE ACETYL HYDROLASE MBTJ	16	177.4	181.7	0.03	1812.00	0.13398	0.44942
MB2407A	NA	NA	4	120.1	20.3	-2.57	178.00	0.03967	0.25388
MB2407c	mbtI	isochorismate synthase mbti	15	122.4	135.8	0.15	199.00	0.98669	1.00000
MB2408	NA	putative sodium-dependent bicarbonate transporter	24	425.9	145.3	-1.55	4313.00	0.00008	0.01473
MB2409c	hemN	PROBABLE OXYGEN-INDEPENDENT COPROPORPHYRINOGEN III OXIDASE HEMN (COPROPORPHYRINOGENASE) (COPROGEN OXIDASE)	17	212.7	393.2	0.89	1575.50	0.96662	1.00000
MB2410c	rpfD	PROBABLE RESUSCITATION-PROMOTING FACTOR RPFD	9	277.4	661.9	1.25	561.50	0.32754	0.67874
MB2411c	NA	FIG00821219: MCE associated membrane protein	5	451.7	240.0	-0.91	252.00	0.15634	0.48307
MB2412	sira	ferredoxin-dependent sulfite reductase sira	16	116.7	14.4	-3.02	1247.00	0.41362	0.76084
MB2413	cysH	probable 3'-phosphoadenosine 5'-phosphosulfate reductase cysh (paps reductase, thioredoxin dep.) (padops reductase) (3'-phosphoadenylylsulfate reductase) (paps sulfotransferase)	12	111.3	51.5	-1.11	467.00	0.17107	0.50325
MB2414	che1	ferrochelatase che1	5	447.6	41.8	-3.42	172.00	0.08348	0.35468
MB2415	ggtB	PROBABLE GAMMA-GLUTAMYLTRANSPEPTIDASE PRECURSOR GGTB (GAMMA-GLUTAMYLTRANSFERASE) (GLUTAMYL TRANSPEPTIDASE)	26	238.4	188.6	-0.34	6584.50	0.00471	0.09111
MB2416	NA	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN [FIRST PART]	9	327.1	370.3	0.18	301.00	0.78471	1.00000
MB2417	NA	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN [SECOND PART]	26	285.9	442.4	0.63	5599.00	0.13015	0.44278
MB2417A	aprA	Acid and phagosome regulated protein A AprA	2	62.0	500.4	3.01	26.50	0.58977	0.88073
MB2417B	aprB	Acid and phagosome regulated protein B AprB	1	5.9	447.9	6.25	6.00	0.64455	0.92297
MB2418	PE_PGRS41	pe-pgrs family protein pe_pgrs41	8	354.7	522.3	0.56	462.50	0.50837	0.81698
MB2419c	cysA1	sulfate-transport atp-binding protein abc transporter cysa1	14	27.2	73.2	1.43	830.50	0.70421	0.96234
MB2420c	cysW	PROBABLE SULFATE-TRANSPORT INTEGRAL MEMBRANE PROTEIN ABC TRANSPORTER CYSW	16	50.1	47.2	-0.08	1237.00	0.46476	0.78186
MB2421c	cysT	PROBABLE SULFATE-TRANSPORT INTEGRAL MEMBRANE PROTEIN ABC TRANSPORTER CYST	7	67.2	51.1	-0.40	154.50	0.27990	0.63086
MB2422c	subI	PROBABLE SULFATE-BINDING LIPOPROTEIN SUBI	16	57.6	21.5	-1.42	1023.50	0.26354	0.61266
MB2423	NA	HYPOTHETICAL PROTEIN	4	32.4	8.7	-1.90	111.00	0.01058	0.13836
MB2424c	NA	POSSIBLE CONSERVED MEMBRANE PROTEIN	1	0.0	0.0	0.00	0.00	1.00000	1.00000
MB2425	NA	Trehalase (EC 3.2.1.28)	27	223.4	148.9	-0.59	4657.00	0.22219	0.55754
MB2426c	lppR	PROBABLE CONSERVED LIPOPROTEIN LPPR	5	626.9	99.8	-2.65	188.00	0.02027	0.17983
MB2427c	lepA	PROBABLE GTP-BINDING PROTEIN LEPA (GTP-BINDING ELONGATION FACTOR)	26	127.3	97.3	-0.39	4165.00	0.35245	0.70341
MB2428	NA	RNA 3'-terminal phosphate cyclase (EC 6.5.1.4)	9	157.1	269.3	0.78	475.00	0.15414	0.47963
MB2429c	NA	CBS domain protein	7	453.8	259.8	-0.80	470.00	0.20187	0.53615
MB2430	rnz	MBL-fold metallo-hydrolase superfamily	9	569.0	209.8	-1.44	666.00	0.03356	0.23325
MB2431	PE24	possible pe family-related protein pe24	16	169.1	132.2	-0.36	2174.50	0.03586	0.24250
MB2432c	NA	Protein containing transglutaminase-like domain, putative cysteine protease	20	87.9	68.8	-0.35	3550.00	0.18991	0.52189
MB2433c	NA	Protein containing domains DUF403	9	166.5	72.1	-1.21	810.00	0.04735	0.27614
MB2434c	NA	Protein containing domains DUF404, DUF407	22	463.7	482.8	0.06	4045.00	0.09564	0.37719
MB2435	rpsT	30s ribosomal protein s20 rpst	1	2.7	12.6	2.21	7.50	1.00000	1.00000
MB2436c	NA	DNA polymerase III delta subunit (EC 2.7.7.7)	11	0.0	0.0	0.00	0.00	1.00000	1.00000
MB2437c	NA	DNA internalization-related competence protein ComEC/Rec2	11	421.8	2096.7	2.31	359.50	0.58850	0.88069
MB2438c	NA	Late competence protein ComEA, DNA receptor	13	386.0	120.9	-1.67	1490.00	0.00820	0.12103
MB2439c	eis	enhanced intracellular survival protein eis,gcn5-related n-acetyltransferase	23	138.2	133.4	-0.05	2696.00	0.05625	0.29726
MB2440c	NA	DegV family protein	12	227.1	416.4	0.87	417.00	0.66530	0.93787
MB2441c	octT	Diglucosylglycerate octanoyltransferase (DGG octanoyltransferase) (EC 2.3.1.273)	20	17.8	38.3	1.11	431.00	0.14546	0.46699
MB2442c	gpgp	glucosyl-3-phosphoglycerate phosphatase gpgp	6	38.2	19.3	-0.99	224.50	0.42325	0.76911
MB2443c	rsfS	Ribosomal silencing factor RsfA	4	3.7	105.2	4.83	51.00	0.14063	0.46076
MB2444c	nadD	PROBABLE NICOTINATE-NUCLEOTIDE ADENYLYLTRANSFERASE NADD (DEAMIDO-NAD(+) PYROPHOSPHORYLASE) (DEAMIDO-NAD(+) DIPHOSPHORYLASE) (NICOTINATE MONONUCLEOTIDE ADENYLYLTRANSFERASE) (NAMN ADENYLYLTRANSFERASE)	14	0.0	0.0	0.00	0.00	1.00000	1.00000
MB2445	NA	HYPOTHETICAL PROTEIN	4	366.6	206.2	-0.83	123.00	0.86382	1.00000
MB2446	NA	SAM-dependent methyltransferase	17	187.8	213.9	0.19	2710.00	0.07396	0.33614
MB2447c	NA	PROBABLE TRANSPOSASE [SECOND PART]	7	193.5	269.3	0.48	269.00	0.70002	0.95811
MB2448c	NA	PROBABLE TRANSPOSASE [FIRST PART]	0	0.0	0.0	0.00	0.00	1.00000	1.00000
MB2449c	NA	Carbon monoxide oxidation accessory protein CoxE	18	228.9	294.4	0.36	2725.50	0.05886	0.29986
MB2450c	NA	Carbon monoxide oxidation accessory protein CoxD	8	108.9	110.0	0.01	599.50	0.19762	0.53124
MB2451c	proA	PROBABLE GAMMA-GLUTAMYL PHOSPHATE REDUCTASE PROTEIN PROA (GPR) (GLUTAMATE-5-SEMIALDEHYDE DEHYDROGENASE) (GLUTAMYL-GAMMA-SEMIALDEHYDE DEHYDROGENASE)	14	411.5	127.6	-1.69	1106.50	0.23548	0.57434
MB2452c	NA	NA	6	504.1	86.1	-2.55	64.00	0.65649	0.93130
MB2453c	NA	NA	1	7.9	139.3	4.14	7.50	1.00000	1.00000
MB2454	ahpC	ALKYL HYDROPEROXIDE REDUCTASE C PROTEIN AHPC (ALKYL HYDROPEROXIDASE C)	8	103.7	4.0	-4.68	291.00	0.00487	0.09211
MB2455	ahpD	ALKYL HYDROPEROXIDE REDUCTASE D PROTEIN AHPD (ALKYL HYDROPEROXIDASE D)	13	155.3	116.3	-0.42	1194.00	0.03978	0.25418
MB2456c	PPE41	ppe family protein ppe41	10	174.0	197.1	0.18	727.50	0.35159	0.70300
MB2457c	PE25	pe family protein pe25	6	171.6	229.8	0.42	277.00	0.81339	1.00000
MB2458c	NA	HYPOTHETICAL PROTEIN	6	44.4	56.5	0.35	108.00	0.41770	0.76475
MB2459c	NA	HYPOTHETICAL PROTEIN	4	63.8	48.8	-0.39	75.00	0.86820	1.00000
MB2460c	NA	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN	21	26.7	92.2	1.79	1206.00	0.24720	0.58908
MB2461c	NA	probable cyclase (adenylyl-or guanylyl-)(adenylate-or guanylate-)	51	96.4	173.6	0.85	7021.50	0.48829	0.79933
MB2462	rbsK	RIBOKINASE RBSK	8	121.3	656.4	2.44	198.00	0.96541	1.00000
MB2463	NA	conserved transmembrane protein	9	37.1	113.0	1.61	282.50	0.89784	1.00000
MB2464c	nadE	GLUTAMINE-DEPENDENT NAD(+) SYNTHETASE NADE (NAD(+) SYNTHASE [GLUTAMINE-HYDROLYSING])	37	148.5	9.4	-3.99	32.50	1.00000	1.00000
MB2465	NA	CONSERVED HYPOTHETICAL PROTEIN	5	0.7	0.0	-0.74	10.00	0.45325	0.77196
MB2466c	proB	PROBABLE GLUTAMATE 5-KINASE PROTEIN PROB (GAMMA-GLUTAMYL KINASE) (GK)	12	1.1	0.0	-1.06	10.00	0.45325	0.77196
MB2467c	obg	PROBABLE GTP1/OBG-FAMILY GTP-BINDING PROTEIN OBG	10	0.0	0.0	0.00	0.00	1.00000	1.00000
MB2468c	rpmA	50s ribosomal protein l27 rpma	4	0.0	0.0	0.00	0.00	1.00000	1.00000
MB2469c	rplU	50s ribosomal protein l21 rplu	4	0.9	0.0	-0.94	10.00	0.45325	0.77196
MB2470	dctA	PROBABLE C4-DICARBOXYLATE-TRANSPORT TRANSMEMBRANE PROTEIN DCTA	21	240.5	243.6	0.02	3357.50	0.07701	0.34042
MB2471c	rne	POSSIBLE RIBONUCLEASE E RNE	28	3.0	120.1	5.33	25.00	0.40655	0.75481
MB2472c	ndkA	PROBABLE NUCLEOSIDE DIPHOSPHATE KINASE NDKA (NDK) (NDP KINASE) (NUCLEOSIDE-2-P KINASE)	4	0.0	0.0	0.00	0.00	1.00000	1.00000
MB2473c	NA	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN	7	76.8	51.8	-0.57	325.50	0.39416	0.74438
MB2474c	folC	PROBABLE FOLYLPOLYGLUTAMATE SYNTHASE PROTEIN FOLC (FOLYLPOLY-GAMMA-GLUTAMATE SYNTHETASE) (FPGS)	12	0.0	0.0	0.00	0.00	1.00000	1.00000
MB2475c	valS	PROBABLE VALYL-tRNA SYNTHASE PROTEIN VALS (VALYL-tRNA SYNTHETASE) (VALINE--tRNA LIGASE) (VALINE TRANSLASE)	24	0.0	0.0	0.00	0.00	1.00000	1.00000
MB2476c	NA	putative membrane protein	26	190.3	118.5	-0.68	5922.00	0.01585	0.16147
MB2477c	rpfE	PROBABLE RESUSCITATION-PROMOTING FACTOR RPFE	5	118.4	163.9	0.47	214.50	0.69872	0.95811
MB2478	NA	HYPOTHETICAL PROLINE AND SERINE RICH PROTEIN	6	81.9	10.6	-2.95	260.50	0.07551	0.33816
MB2479c	NA	HYPOTHETICAL PROTEIN	7	19.2	46.3	1.27	316.50	0.49135	0.80149
MB2480c	mobA	PROBABLE MOLYBDOPTERIN-GUANINE DINUCLEOTIDE BIOSYNTHESIS PROTEIN A MOBA	5	342.0	188.8	-0.86	269.00	0.04991	0.28236
MB2481c	NA	PROBABLE OXIDOREDUCTASE (BETA SUBUNIT)	12	275.4	218.7	-0.33	960.00	0.11755	0.42307
MB2482c	NA	PROBABLE OXIDOREDUCTASE (ALPHA SUBUNIT)	34	245.2	166.1	-0.56	9584.00	0.00047	0.03306
MB2483c	NA	probable conserved integral membrane transport protein	17	600.9	700.9	0.22	2767.00	0.04488	0.26862
MB2484c	clpX	PROBABLE ATP-DEPENDENT CLP PROTEASE ATP-BINDING SUBUNIT CLPX	19	0.0	0.0	0.00	0.00	1.00000	1.00000
MB2485	mmuM	PROBABLE HOMOCYSTEINE S-METHYLTRANSFERASE MMUM (S-METHYLMETHIONINE:HOMOCYSTEINE METHYLTRANSFERASE) (CYSTEINE METHYLTRANSFERASE)	15	190.7	186.0	-0.04	2209.00	0.02369	0.19720
MB2486	NA	PROBABLE CONSERVED INTEGRAL MEMBRANE TRANSPORT PROTEIN	21	243.3	317.1	0.38	3437.00	0.03597	0.24250
MB2487c	clpP2	PROBABLE ATP-DEPENDENT CLP PROTEASE PROTEOLYTIC SUBUNIT 2 CLPP2 (ENDOPEPTIDASE CLP 2)	9	0.0	0.0	0.00	0.00	1.00000	1.00000
MB2488c	clpP1	PROBABLE ATP-DEPENDENT CLP PROTEASE PROTEOLYTIC SUBUNIT 1 CLPP1 (ENDOPEPTIDASE CLP)	9	0.0	0.0	0.00	0.00	1.00000	1.00000
MB2489c	tig	PROBABLE TRIGGER FACTOR (TF) PROTEIN TIG	18	132.3	232.0	0.81	1886.50	0.40531	0.75481
MB2490	lipP	PROBABLE ESTERASE/LIPASE LIPP	18	182.5	242.1	0.41	2561.00	0.25565	0.60157
MB2491c	NA	POSSIBLE DNA GLYCOSYLASE	10	388.0	440.6	0.18	652.00	0.14946	0.47305
MB2492c	rpib	ribose-5-phosphate isomerase	7	0.0	0.0	0.00	0.00	1.00000	1.00000
MB2493c	NA	Protein disulfide oxidoreductase	9	230.5	133.4	-0.79	531.00	0.77510	1.00000
MB2494	pepN	PROBABLE AMINOPEPTIDASE N PEPN (LYSYL AMINOPEPTIDASE) (LYS-AP) (ALANINE AMINOPEPTIDASE)	37	197.4	145.7	-0.44	11199.50	0.00135	0.04935
MB2495A	NA	Conserved protein	2	215.2	638.9	1.57	23.00	0.36488	0.71888
MB2495c	NA	conserved protein	5	268.6	185.1	-0.54	245.00	0.20275	0.53692
MB2496c	NA	HNH endonuclease family protein	10	313.4	184.2	-0.77	893.00	0.35245	0.70341
MB2497	glbO	globin (oxygen-binding protein) glbo	9	222.2	32.8	-2.76	1018.00	0.00002	0.00964
MB2498	aglA	PROBABLE ALPHA-GLUCOSIDASE AGLA (MALTASE) (GLUCOINVERTASE) (GLUCOSIDOSUCRASE) (MALTASE-GLUCOAMYLASE) (LYSOSOMAL ALPHA-GLUCOSIDASE) (ACID MALTASE)	13	153.4	84.8	-0.86	1535.50	0.20699	0.53826
MB2499	NA	CONSERVED HYPOTHETICAL PROTEIN	6	170.3	40.1	-2.09	372.00	0.04400	0.26646
MB2500	NA	POSSIBLE ALANINE AND PROLINE RICH MEMBRANE PROTEIN	15	66.0	128.9	0.97	1885.00	0.63288	0.91527
MB2501c	NA	CONSERVED HYPOTHETICAL PROTEIN	9	13.8	59.7	2.11	362.00	0.56663	0.86295
MB2502c	NA	Predicted thioesterase	8	287.1	406.9	0.50	304.00	0.73480	0.98126
MB2503c	gdh	PROBABLE NAD-DEPENDENT GLUTAMATE DEHYDROGENASE GDH (NAD-GDH) (NAD-DEPENDENT GLUTAMIC DEHYDROGENASE)	60	188.0	148.6	-0.34	27335.00	0.00104	0.04481
MB2504c	NA	PROBABLE MACROLIDE-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER	26	12.9	0.7	-4.29	568.00	0.25696	0.60325
MB2505c	NA	Single-stranded DNA-binding protein	6	240.7	54.2	-2.15	262.50	0.07859	0.34391
MB2506c	NA	HYPOTHETICAL PROTEIN	5	411.2	196.1	-1.07	262.00	0.08102	0.34941
MB2507c	plsB2	PROBABLE GLYCEROL-3-PHOSPHATE ACYLTRANSFERASE PLSB2 (GPAT)	38	90.0	178.2	0.99	8905.00	0.19617	0.52972
MB2508c	plsC	possible transmembrane phospholipid biosynthesis bifunctional enzyme plsc: putative l-3-phosphoserine phosphatase (o-phosphoserine phosphohydrolase) (psp) (pspase) + 1-acyl-sn-glycerol-3-phosphate acyltransferase (1-agp acyltransferase) (1-agpat) (lysophosphatidic acid acyltransferase) (lpaat)	25	61.8	64.2	0.05	3164.00	0.22126	0.55694
MB2509c	NA	possible triacylglycerol synthase (diacylglycerol acyltransferase)	21	152.4	49.6	-1.62	2772.00	0.00010	0.01634
MB2510c	lipQ	PROBABLE CARBOXYLESTERASE LIPQ	21	182.8	213.1	0.22	3281.50	0.77577	1.00000
MB2511	echA14	PROBABLE ENOYL-COA HYDRATASE ECHA14 (ENOYL HYDRASE) (UNSATURATED ACYL-COA HYDRATASE) (CROTONASE)	10	258.5	175.9	-0.56	679.00	0.72882	0.97639
MB2512c	PE_PGRS42d	NA	3	245.6	278.8	0.18	90.50	0.28075	0.63090
MB2513c	PE_PGRS42b	PE-PGRS FAMILY PROTEIN [SECOND PART]	9	30.7	232.5	2.92	449.00	0.29923	0.65390
MB2514c	PE_PGRS42a	PE-PGRS FAMILY PROTEIN [FIRST PART]	7	383.3	538.3	0.49	365.00	0.09454	0.37603
MB2515c	NA	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (LUXR-FAMILY)	39	230.3	220.6	-0.06	12964.50	0.05398	0.29232
MB2516c	NA	HYPOTHETICAL ALANINE RICH PROTEIN	5	505.0	156.7	-1.69	93.00	0.22790	0.56251
MB2517c	PE_PGRS43b	PE-PGRS FAMILY PROTEIN [SECOND PART]	21	144.0	122.3	-0.24	3266.00	0.81163	1.00000
MB2518c	PE_PGRS43a	PE-PGRS FAMILY PROTEIN [FIRST PART]	18	219.5	264.8	0.27	2276.00	0.26446	0.61396
MB2519	NA	Rossmann-fold nucleotide-binding protein	15	111.6	117.7	0.08	154.00	0.29734	0.65296
MB2520	NA	Thymidylate synthase	30	92.2	140.3	0.60	721.00	0.34444	0.69628
MB2521	vapb38	possible antitoxin vapb38	0	0.0	0.0	0.00	0.00	1.00000	1.00000
MB2522	vapc38	possible toxin vapc38. contains pin domain.	4	150.7	254.9	0.76	118.00	0.71092	0.96421
MB2523c	bkdc	probable branched-chain keto acid dehydrogenase e2 component bkdc	14	124.5	13.5	-3.21	641.00	0.03268	0.23009
MB2524c	bkdb	probable branched-chain keto acid dehydrogenase e1 component, beta subunit bkdb	19	165.3	138.6	-0.25	922.50	0.12261	0.43110
MB2525c	bkda	probable branched-chain keto acid dehydrogenase e1 component, alpha subunit bkda	19	145.4	115.2	-0.34	1874.00	0.68489	0.94970
MB2526c	citE	PROBABLE CITRATE (PRO-3S)-LYASE (BETA SUBUNIT) CITE (CITRASE) (CITRATASE) (CITRITASE) (CITRIDESMOLASE) (CITRASE ALDOLASE)	7	28.6	24.8	-0.21	388.00	0.00875	0.12827
MB2527c	NA	POSSIBLE OXIDASE REGULATORY-RELATED PROTEIN	6	338.8	152.7	-1.15	84.00	0.45850	0.77766
MB2528c	fadE19	POSSIBLE ACYL-COA DEHYDROGENASE FADE19 (MMGC)	24	27.2	49.5	0.87	547.00	0.10134	0.39377
MB2529c	accA1	PROBABLE ACETYL-/PROPIONYL-COENZYME A CARBOXYLASE ALPHA CHAIN (ALPHA SUBUNIT) ACCA1: BIOTIN CARBOXYLASE + BIOTIN CARBOXYL CARRIER PROTEIN (BCCP)	24	67.2	33.5	-1.01	1889.00	0.55059	0.85136
MB2530c	accD1	PROBABLE ACETYL-/PROPIONYL-COA CARBOXYLASE (BETA SUBUNIT) ACCD1	28	44.2	72.2	0.71	3537.50	0.19006	0.52189
